Current Cases, Total Cases, Non-Infected Population, Deaths, Recoveries
7939676, 7927766.486, 7786859063.0, 11909.514000000001, 0
8838993, 8813824.9965, 7785959746.0, 13258.4895, 0
8838993, 8800566.507000001, 7785959746.0, 13258.4895, 0
9426465, 9373898.809500001, 7785372274.0, 14139.6975, 0
9426465, 9359759.112000002, 7785372274.0, 14139.6975, 0
9426465, 9345619.414500002, 7785372274.0, 14139.6975, 0
9426465, 9331479.717000002, 7785372274.0, 14139.6975, 0
9426465, 9317340.019500002, 7785372274.0, 14139.6975, 0
9426465, 9303200.322000002, 7785372274.0, 14139.6975, 0
9426465, 9289060.624500003, 7785372274.0, 14139.6975, 0
9268481.514, 9274920.927000003, 7785530257.486, 14139.6975, 157983.486
8575267.4895, 9453573.424000002, 7786223471.5105, 14191.989, 886058.5105
8575267, 9440710.034000004, 7786223472.0, 12862.9005, 0
8575267, 9427847.133500004, 7786223472.0, 12862.9005, 0
8001934.6975, 9414984.233000005, 7786796804.3025, 12862.9005, 573332.3025
8001934, 9402980.634500004, 7786796805.0, 12002.901, 0
9051268, 10438737.732500004, 7785747471.0, 13576.902, 0
10605833, 11977393.983000003, 7784192906.0, 15908.7495, 0
10605833, 11961485.233500002, 7784192906.0, 15908.7495, 0
10605833, 11945576.484000001, 7784192906.0, 15908.7495, 0
10605833, 11929667.7345, 7784192906.0, 15908.7495, 0
10605833, 11913758.985, 7784192906.0, 15908.7495, 0
10605833, 11897850.235499999, 7784192906.0, 15908.7495, 0
10605833, 11881941.485999998, 7784192906.0, 15908.7495, 0
10605833, 11866032.736499997, 7784192906.0, 15908.7495, 0
12524843, 13766255.471999997, 7782273896.0, 18787.2645, 0
12524843, 13747468.207499998, 7782273896.0, 18787.2645, 0
12524843, 13728680.942999998, 7782273896.0, 18787.2645, 0
12954346.503, 14317137.444499997, 7781844392.497, 19699.4985, 178652.49699999957
14963447, 16303792.770999998, 7779835292.0, 22445.1705, 0
15876110, 17192641.606, 7778922629.0, 23814.165, 0
15876110, 17168827.441, 7778922629.0, 23814.165, 0
15876110, 17145013.276, 7778922629.0, 23814.165, 0
15876110, 17121199.111, 7778922629.0, 23814.165, 0
15876110, 17097384.946000002, 7778922629.0, 23814.165, 0
14840352.902, 17073570.781000003, 7779958386.098, 23814.165, 1035757.098
13301695.749499999, 17051309.351000004, 7781497043.2505, 22260.528000000002, 1538656.2505
15179544, 18906388.285500005, 7779619195.0, 22769.316, 0
15179544, 18883618.969500005, 7779619195.0, 22769.316, 0
15179544, 18860849.653500006, 7779619195.0, 22769.316, 0
15179544, 18838080.337500006, 7779619195.0, 22769.316, 0
15179544, 18815311.021500006, 7779619195.0, 22769.316, 0
15179544, 18792541.705500007, 7779619195.0, 22769.316, 0
15179544, 18769772.389500007, 7779619195.0, 22769.316, 0
15179544, 18747003.073500007, 7779619195.0, 22769.316, 0
14761396.2645, 20204085.645000007, 7780037342.7355, 24992.4285, 1900222.7355
14761396, 20181943.286500007, 7780037343.0, 22142.094, 0
17342327, 22736860.796000008, 7777456412.0, 26013.4905, 0
16753870.4985, 22710847.30550001, 7778044868.5015, 26013.4905, 588456.5015
14767214.673500001, 22685716.002000008, 7780031524.3265, 25130.805, 1986655.3264999995
15637552.165, 24420112.727000006, 7779161186.835, 24789.6015, 888848.835
17789060, 26544936.972000007, 7777009679.0, 26683.59, 0
17789060, 26518253.382000007, 7777009679.0, 26683.59, 0
17789060, 26491569.792000007, 7777009679.0, 26683.59, 0
17789060, 26464886.202000007, 7777009679.0, 26683.59, 0
17789060, 26438202.612000007, 7777009679.0, 26683.59, 0
17789060, 26411519.022000007, 7777009679.0, 26683.59, 0
17789060, 26384835.432000007, 7777009679.0, 26683.59, 0
15933981.065499999, 26358151.842000008, 7778864757.9345, 26683.59, 1855078.934500001
18103107, 28500123.116000008, 7776695632.0, 27154.6605, 0
18103107, 28472968.455500007, 7776695632.0, 27154.6605, 0
18103107, 28445813.795000006, 7776695632.0, 27154.6605, 0
18103107, 28418659.134500004, 7776695632.0, 27154.6605, 0
20085169, 30370593.381000005, 7774713570.0, 30127.7535, 0
22915931, 33166981.484500006, 7771882808.0, 34373.8965, 0
24595495, 34809652.242000006, 7770203244.0, 36893.2425, 0
23138412.4285, 34772758.99950001, 7771660326.5715, 36893.2425, 1457082.5715
23307840, 34907224.811000004, 7771490899.0, 34961.76, 0
20752922.4905, 34872263.05100001, 7774045816.5095, 34961.76, 2554917.5095
20752922, 34841133.17750001, 7774045816.999999, 31129.383, 0
20752922, 34810003.79450001, 7774045816.999999, 31129.383, 0
20970633.275000002, 36728054.24950001, 7773828105.724999, 34057.545, 1734396.7249999985
18845808.755, 36696598.025000006, 7775952930.244999, 31455.949500000002, 2124824.245000001
18845808, 36668328.558000006, 7775952930.999999, 28268.712, 0
18845808, 36640059.84600001, 7775952930.999999, 28268.712, 0
21039828, 38802520.10400001, 7773758910.999999, 31559.742000000002, 0
21039828, 38770960.36200001, 7773758910.999999, 31559.742000000002, 0
21039828, 38739400.62000001, 7773758910.999999, 31559.742000000002, 0
21039828, 38707840.87800001, 7773758910.999999, 31559.742000000002, 0
21039828, 38676281.136000015, 7773758910.999999, 31559.742000000002, 0
18897856.726, 38644721.394000016, 7775900882.273999, 31559.742000000002, 2141971.274000001
18897856, 38616373.88400002, 7775900882.999999, 28346.784, 0
18897856, 38588027.10000002, 7775900882.999999, 28346.784, 0
19535808, 39196675.38800002, 7775262930.999999, 29303.712, 0
17583873.7535, 39167371.67600002, 7777214865.246499, 29303.712, 1951934.2465
15686937.896499999, 40039098.93350002, 7779111801.103499, 27724.989, 2796388.1035
14044266.2425, 40015567.63150002, 7780754472.757499, 23530.4055, 1642670.7575
14044266, 39994500.990000024, 7780754472.999999, 21066.399, 0
14469015.1885, 40531810.76850002, 7780329723.811499, 21905.2215, 134465.8114999996
14469015, 40510107.05750002, 7780329723.999999, 21703.5225, 0
14469015, 40488403.53500002, 7780329723.999999, 21703.5225, 0
14469015, 40466700.01250002, 7780329723.999999, 21703.5225, 0
12958773.545, 40852193.77650002, 7781839965.454999, 22315.236, 1918050.455
12958773, 40832755.07200002, 7781839965.999999, 19438.1595, 0
14901125, 42752755.38450002, 7779897613.999999, 22351.6875, 0
16040691, 43868260.34800002, 7778758047.999999, 24061.036500000002, 0
14478442.742, 44443510.99350002, 7780320296.257999, 24961.3545, 2162460.258
14478442, 44421792.588500015, 7780320296.999999, 21717.663, 0
14478442, 44400074.92550001, 7780320296.999999, 21717.663, 0
14478442, 44378357.26250001, 7780320296.999999, 21717.663, 0
14478442, 44356639.59950001, 7780320296.999999, 21717.663, 0
14478442, 44334921.936500005, 7780320296.999999, 21717.663, 0
14478442, 44313204.2735, 7780320296.999999, 21717.663, 0
14478442, 44291486.6105, 7780320296.999999, 21717.663, 0
13869793.712, 44269768.9475, 7780928945.287999, 21717.663, 608648.288
13869793, 44248963.546, 7780928945.999999, 20804.6895, 0
12998065.7425, 44228158.8565, 7781800673.257499, 20804.6895, 871727.2575000003
12998065, 44208661.0165, 7781800673.999999, 19497.0975, 0
12998065, 44189163.91900001, 7781800673.999999, 19497.0975, 0
12460755.2215, 44169666.82150001, 7782337983.778499, 19497.0975, 537309.7785
12460755, 44150975.46750001, 7782337983.999999, 18691.1325, 0
12460755, 44132284.33500001, 7782337983.999999, 18691.1325, 0
13716160, 45367115.095000006, 7781082578.999999, 20574.24, 0
13330666.236, 45346540.855000004, 7781468072.763999, 20574.24, 385493.764
14099686, 46094411.09, 7780699052.999999, 21149.529, 0
12179685.6875, 46073261.561000004, 7782619053.312499, 21149.529, 1920000.3125
12293620.0365, 47282587.186000004, 7782505118.963499, 20113.6875, 1115504.9635
11718369.3545, 47264146.719500005, 7783080369.645499, 18440.43, 575250.6455
11718369, 47246568.811500005, 7783080369.999999, 17577.5535, 0
11718369, 47228991.25800001, 7783080369.999999, 17577.5535, 0
12401038, 47893058.701000005, 7782397700.999999, 18601.557, 0
12401038, 47874457.14400001, 7782397700.999999, 18601.557, 0
12401038, 47855855.58700001, 7782397700.999999, 18601.557, 0
12401038, 47837254.030000016, 7782397700.999999, 18601.557, 0
12401038, 47818652.47300002, 7782397700.999999, 18601.557, 0
12401038, 47800050.91600002, 7782397700.999999, 18601.557, 0
12994224, 48373745.58000002, 7781804514.999999, 19491.336, 0
12994224, 48354254.24400002, 7781804514.999999, 19491.336, 0
12994224, 48334762.908000015, 7781804514.999999, 19491.336, 0
12994224, 48315271.57200001, 7781804514.999999, 19491.336, 0
12994224, 48295780.23600001, 7781804514.999999, 19491.336, 0
14662397, 49941959.64050001, 7780136341.999999, 21993.5955, 0
14662397, 49919966.04500001, 7780136341.999999, 21993.5955, 0
15066956.24, 51534903.36450001, 7779731782.759999, 24452.680500000002, 1234830.76
15066956, 51512302.690500006, 7779731782.999999, 22600.434, 0
14319085.764999999, 51489702.256500006, 7780479653.234999, 22600.434, 747870.2350000005
14319085, 51468222.86400001, 7780479653.999999, 21478.6275, 0
13109759.375, 51446744.23650001, 7781688979.624999, 21478.6275, 1209325.625
13109759, 51427079.22300001, 7781688979.999999, 19664.6385, 0
13109759, 51407414.584500015, 7781688979.999999, 19664.6385, 0
13109759, 51387749.94600002, 7781688979.999999, 19664.6385, 0
12445691.557, 51368085.30750002, 7782353047.442999, 19664.6385, 664067.443
12445691, 51349416.21400002, 7782353047.999999, 18668.536500000002, 0
12445691, 51330747.67750002, 7782353047.999999, 18668.536500000002, 0
12445691, 51312079.14100002, 7782353047.999999, 18668.536500000002, 0
12445691, 51293410.60450002, 7782353047.999999, 18668.536500000002, 0
12445691, 51274742.06800002, 7782353047.999999, 18668.536500000002, 0
11871996.336, 51256073.53150002, 7782926742.663999, 18668.536500000002, 573694.664
13000591, 52365167.30900002, 7781798147.999998, 19500.8865, 0
13000591, 52345666.42250002, 7781798147.999998, 19500.8865, 0
13000591, 52326165.53600002, 7781798147.999998, 19500.8865, 0
13000591, 52306664.64950002, 7781798147.999998, 19500.8865, 0
11354411.5955, 52287163.76300002, 7783444327.404498, 19500.8865, 1646179.4045
12757047, 53670663.59700002, 7782041691.999998, 19135.5705, 0
11142109.6805, 53651528.02650002, 7783656629.319498, 19135.5705, 1614937.3195
11142109, 53634814.18250001, 7783656629.999998, 16713.1635, 0
11737222, 54212321.349500015, 7783061516.999998, 17605.833, 0
11737222, 54194715.51650002, 7783061516.999998, 17605.833, 0
11737222, 54177109.68350002, 7783061516.999998, 17605.833, 0
11737222, 54159503.850500025, 7783061516.999998, 17605.833, 0
11737222, 54141898.01750003, 7783061516.999998, 17605.833, 0
11737222, 54124292.18450003, 7783061516.999998, 17605.833, 0
11874117, 54243376.00900003, 7782924621.999998, 17811.1755, 0
11874117, 54225564.833500035, 7782924621.999998, 17811.1755, 0
11874117, 54207753.65800004, 7782924621.999998, 17811.1755, 0
11874117, 54189942.48250004, 7782924621.999998, 17811.1755, 0
11874117, 54172131.30700004, 7782924621.999998, 17811.1755, 0
12566981, 54846144.83550004, 7782231757.999998, 18850.4715, 0
14806119, 57063073.65700004, 7779992619.999998, 22209.1785, 0
13697025.2225, 57040864.478500046, 7781101713.777498, 22209.1785, 1109093.7775000008
13697025, 57020318.71850005, 7781101713.999998, 20545.537500000002, 0
14406181, 57707865.44700005, 7780392557.999998, 21609.2715, 0
14684221, 57963879.11550005, 7780114517.999998, 22026.3315, 0
14684221, 57941852.78400005, 7780114517.999998, 22026.3315, 0
13300721.166, 57919826.452500045, 7781498017.833998, 22026.3315, 1383499.8340000003
14604336, 59201534.78250004, 7780194402.999998, 21906.504, 0
14604336, 59179628.27850004, 7780194402.999998, 21906.504, 0
14026828.833, 59157721.77450004, 7780771910.166998, 21906.504, 577507.167
14026828, 59136680.69950004, 7780771910.999998, 21040.242000000002, 0
14026828, 59115640.45750004, 7780771910.999998, 21040.242000000002, 0
14026828, 59094600.21550004, 7780771910.999998, 21040.242000000002, 0
14026828, 59073559.97350004, 7780771910.999998, 21040.242000000002, 0
14026828, 59052519.731500044, 7780771910.999998, 21040.242000000002, 0
15004732.1755, 60126822.007500045, 7779794006.824498, 22685.724000000002, 119083.8245
16429107, 61526553.17150004, 7778369631.999999, 24643.6605, 0
17926112, 62996669.003500044, 7776872626.999999, 26889.168, 0
17926112, 62969779.83550005, 7776872626.999999, 26889.168, 0
19269149, 64283913.11200005, 7775529589.999999, 28903.7235, 0
18595135.4715, 64255009.38850005, 7776203603.528499, 28903.7235, 674013.5285
16378206.1785, 64227116.21450005, 7778420532.821498, 27892.7025, 2216928.8215
16378206, 64202548.72700005, 7778420532.999998, 24567.309, 0
16378206, 64177981.41800005, 7778420532.999998, 24567.309, 0
15690659.2715, 64153414.10900005, 7779108079.728498, 24567.309, 687546.7285
15434645.3315, 64129877.84900005, 7779364093.668499, 23535.9885, 256013.6685
15434645, 64106725.55000005, 7779364093.999999, 23151.9675, 0
15434645, 64083573.58250005, 7779364093.999999, 23151.9675, 0
14152936.67, 64060421.61500005, 7780645802.329999, 23151.9675, 1281708.3300000008
14152936, 64039191.541000046, 7780645802.999999, 21229.404, 0
14825302, 64689319.588000044, 7779973436.999999, 22237.953, 0
14825302, 64667081.63500004, 7779973436.999999, 22237.953, 0
14825302, 64644843.68200004, 7779973436.999999, 22237.953, 0
14825302, 64622605.72900004, 7779973436.999999, 22237.953, 0
15882023, 65655503.69450004, 7778916715.999999, 23823.0345, 0
17959291, 67705832.75800003, 7776839447.999999, 26938.9365, 0
16884988.724, 67678893.82150003, 7777913750.275999, 26938.9365, 1074302.276
15485256.836, 67653565.61550003, 7779313482.163999, 25327.482, 1399731.164
14015140.168, 67630336.89550003, 7780783598.831999, 23227.884000000002, 1470115.832
14015140, 67609314.01750003, 7780783598.999999, 21022.71, 0
12701006.7235, 67588291.30750003, 7782097732.276499, 21022.71, 1314133.2765
